Datasets to be documented,Type,Tool,Abstract,Purpose,Supplemental Information,Point of Contact Information,Currentness Reference,Status,Update Frequency,Keyword,Entity Attributes,Distribution,Metadata Date,Extensions,Online Linkage,Profile Name,Access Constraints,Use Constraints,Citation Originator,Publication Date,Calendar Date,Progress,Thesaurus
Tag,,,idinfo/descript/abstract,idinfo/descript/purpose,idinfo/descript/purpose,idinfo/ptcontac/cntinfo,idinfo/timeperd/current,idinfo/status/progress,idinfo/status/update,idinfo/keywords/theme/themekey,eainfo/detailed/attr,distinfo/resdesc,metainfo/metd,metainfo/metextns/onlink,metainfo/metextns/onlink,metainfo/metextns/metprof,idinfo/accconst,idinfo/useconst,idinfo/citation/citeinfo/origin,idinfo/citation/citeinfo/pubdate,idinfo/timeperd/timeinfo/sngdate/caldate,idinfo/status/progress,idinfo/keywords/theme/themekt
BODEyield,Vector,Baseline Conditions,BOD Yield using Existing Landuse,,This data was produced using WIP Tools,,,Complete,As Needed or Irregular,Baseline Conditions,Grid code,See WIP Tools Legal agreement,,,,,DWR or designated consultants,DWR or designated consultants,,,,In Work,
BODFyield,Vector,Baseline Conditions,BOD Yield using Future Landuse,,This data was produced using WIP Tools,,,Complete,As Needed or Irregular,Baseline Conditions,Grid code,See WIP Tools Legal agreement,,,,,DWR or designated consultants,DWR or designated consultants,,,,In Work,
chnnlprot,Raster,Impervious,Channel protection volume for the study area.,,This data was produced using WIP Tools,,,Complete,As Needed or Irregular,Impervious,Grid code,See WIP Tools Legal agreement,,,,,DWR or designated consultants,DWR or designated consultants,,,,In Work,
cipurbrurr,Raster,CIP Selection,Urban Rural Ratio,,This data was produced using WIP Tools,,,Complete,As Needed or Irregular,TopoHydro,Grid code,See WIP Tools Legal agreement,,,,,DWR or designated consultants,DWR or designated consultants,,,,In Work,
cumda,Raster,TopoHydro,Cumulative drainage area in acres.,,This data was produced using WIP Tools,,,Complete,As Needed or Irregular,TopoHydro,Grid code,See WIP Tools Legal agreement,,,,,DWR or designated consultants,DWR or designated consultants,,,,In Work,
CumImpCov,Raster,Production Rate Setup,Percent of cumulative impervious surface for each grid cell. This grid is used in later modeling and is typically not directly used by a model user.,,This data was produced using WIP Tools,,,Complete,As Needed or Irregular,Production Rate Setup,Grid code,See WIP Tools Legal agreement,,,,,DWR or designated consultants,DWR or designated consultants,,,,In Work,
CumImpCovLake,Raster,Production Rate Setup,Percent of cumulative impervious surface for each grid cell. This grid is used in later modeling and is typically not directly used by a model user.,,This data was produced using WIP Tools,,,Complete,As Needed or Irregular,Production Rate Setup,Grid code,See WIP Tools Legal agreement,,,,,DWR or designated consultants,DWR or designated consultants,,,,In Work,
cumimpcovvec,Vector,Impervious,Accumulation from Impervious runoff areas,,This data was produced using WIP Tools,,,Complete,As Needed or Irregular,Impervious,Grid code,See WIP Tools Legal agreement,,,,,DWR or designated consultants,DWR or designated consultants,,,,In Work,
ELBOD,Raster,CIP Selection,,,This data was produced using WIP Tools,,,Complete,As Needed or Irregular,CIP Selection,Grid code,See WIP Tools Legal agreement,,,,,DWR or designated consultants,DWR or designated consultants,,,,In Work,
ELSediment,Raster,CIP Selection,,,This data was produced using WIP Tools,,,Complete,As Needed or Irregular,CIP Selection,Grid code,See WIP Tools Legal agreement,,,,,DWR or designated consultants,DWR or designated consultants,,,,In Work,
ELTotalNitro,Raster,CIP Selection,,,This data was produced using WIP Tools,,,Complete,As Needed or Irregular,CIP Selection,Grid code,See WIP Tools Legal agreement,,,,,DWR or designated consultants,DWR or designated consultants,,,,In Work,
