TABLE_MATC,CurveNA,CurveNB,CurveNC,CurveND,W,BorrowPits,GulliedLand,UL,MANNINGSN,TotalNitrogen,TotalPhosphorus,Sediment,Copper,Zinc,FecalColiform
Forest,30,55,70,77,100,92,85,95,16.18,3,0.2,72,0,0,4
Commercial,68,79,86,89,100,92,85,95,18.26,15.6,2.7,800,0,0,4.2
Industrial,78,86,90,92,100,92,85,95,18.97,11.6,1.9,745,0,0,4.2
Institutional/Office,71,81,87,90,100,92,85,95,18.49,10.4,0.7,100,0,0,7.4
Parks,44,64,76,81,100,92,85,95,16.52,2.5,0.1,20,0,0,6
HDR,52,69,79,84,100,92,85,95,17.13,12.4,1.6,485,0,0,15.1
MDR,46,66,77,82,100,92,85,95,16.70,12.4,1.6,485,0,0,15.1
LDR,42,63,75,81,100,92,85,95,16.43,7.1,0.7,300,0,0,8.1
Roads,98,98,98,98,98,98,98,98,18.62,13.6,1.8,810,0,0,1.4
Commercial_QTR,89,92,94,95,100,92,85,95,18.34,13.9,2.673,384,0,0,8.3
HDR_QTR,77,85,90,92,100,92,85,95,18.4,11.1,1.584,232.8,0,0,29.9
Industrial_QTR,81,88,91,93,100,92,85,95,17.61,10.3,1.881,357.6,0,0,8.3
Institutional/Office_QTR,61,75,83,87,100,92,85,95,17.83,9.3,0.693,48,0,0,14.7
LDR_QTR,54,70,80,85,100,92,85,95,16.98,6.3,0.693,144,0,0,16
MDR_QTR,61,75,83,87,100,92,85,95,17.19,11.1,1.584,232.8,0,0,29.9
Parks_QTR,39,61,74,80,100,92,85,95,16.6,2.3,0.099,9.6,0,0,11.9
Roads_QTR,98,98,98,98,98,98,98,98,20.38,12.1,1.782,388.8,0,0,2.8
Commercial_WKLY,89,92,94,95,100,92,85,95,18.34,13.2,2.565,304,0,0,8
HDR_WKLY,77,85,90,92,100,92,85,95,18.4,10.5,1.52,184.3,0,0,28.7
Industrial_WKLY,81,88,91,93,100,92,85,95,17.61,9.8,1.805,283.1,0,0,8
Institutional/Office_WKLY,61,75,83,87,100,92,85,95,17.83,8.8,0.665,38,0,0,14.1
LDR_WKLY,54,70,80,85,100,92,85,95,16.98,6,0.665,114,0,0,15.4
MDR_WKLY,61,75,83,87,100,92,85,95,17.19,10.5,1.52,184.3,0,0,28.7
Parks_WKLY,39,61,74,80,100,92,85,95,16.6,2.2,0.095,7.6,0,0,11.4
Roads_WKLY,98,98,98,98,98,98,98,98,20.38,11.5,1.71,307.8,0,0,2.7
Commercial_QTR_TAD,89,92,94,95,100,92,85,95,18.34,9.7,1.5,76.8,0,0,2.5
HDR_QTR_TAD,77,85,90,92,100,92,85,95,18.4,7.8,0.9,46.6,0,0,9
Industrial_QTR_TAD,81,88,91,93,100,92,85,95,17.61,7.2,1,71.5,0,0,2.5
Institutional/Office_QTR_TAD,61,75,83,87,100,92,85,95,17.83,6.5,0.4,9.6,0,0,4.4
LDR_QTR_TAD,54,70,80,85,100,92,85,95,16.98,4.4,0.4,28.8,0,0,4.8
MDR_QTR_TAD,61,75,83,87,100,92,85,95,17.19,7.77,0.9,46.6,0,0,9
Parks_QTR_TAD,39,61,74,80,100,92,85,95,16.6,1.6,0.1,1.9,0,0,3.6
Roads_QTR_TAD,98,98,98,98,98,98,98,98,20.38,8.5,1,77.8,0,0,0.8
Commercial_WKLY_TAD,89,92,94,95,100,92,85,95,18.34,9.2,1.4,60.8,0,0,2.4
HDR_WKLY_TAD,77,85,90,92,100,92,85,95,18.4,7.4,0.8,36.9,0,0,8.6
Industrial_WKLY_TAD,81,88,91,93,100,92,85,95,17.61,6.9,1,56.6,0,0,2.4
Institutional/Office_WKLY_TAD,61,75,83,87,100,92,85,95,17.83,6.2,0.4,7.6,0,0,4.2
LDR_WKLY_TAD,54,70,80,85,100,92,85,95,16.98,4.2,0.4,22.8,0,0,4.6
MDR_WKLY_TAD,61,75,83,87,100,92,85,95,17.19,7.4,0.8,36.9,0,0,8.6
